cohort,dataset,outcome,representation,model,n,pearson_r,spearman_rho,prediction_sd,pearson_ci_2_5,pearson_ci_97_5,spearman_ci_2_5,spearman_ci_97_5,successful_bootstraps,metric_note,panel_order,drug_name,study_role,mechanism_class
GDSC2_strict_sanger_heldout,GDSC2,AUC,Hallmark pathways,Mean baseline,347,,,2.220446049250313e-16,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC2_strict_sanger_heldout,GDSC2,AUC,Hallmark pathways,Elastic Net,347,0.3151400969302504,0.2123451733845559,0.5718768670620368,0.2288999073945634,0.399913867625231,0.1128503281863187,0.3099836011561841,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC2_strict_sanger_heldout,GDSC2,AUC,Hallmark pathways,Random forest,347,0.2659170723132957,0.1365932199398127,0.3688108365275729,0.1489036595949506,0.3752505198733574,0.0222210994706067,0.2436055438629318,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC2_heldout_all_expression_sources,GDSC2,LN_IC50,Hallmark pathways,Mean baseline,546,,,0.0,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC2_heldout_all_expression_sources,GDSC2,LN_IC50,Hallmark pathways,Elastic Net,546,0.4056795688398258,0.3920468408367373,0.6058572911648021,0.3402959991875544,0.4669420336526164,0.320784946642604,0.459544715887092,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC2_heldout_all_expression_sources,GDSC2,LN_IC50,Hallmark pathways,Random forest,546,0.3142492302537467,0.298301470429676,0.3925845675173162,0.24241984677751,0.3882016347125139,0.2250212681643259,0.3728719086467556,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC2_heldout_all_expression_sources,GDSC2,AUC,Hallmark pathways,Mean baseline,546,,,0.0,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC2_heldout_all_expression_sources,GDSC2,AUC,Hallmark pathways,Elastic Net,546,0.3467140948033061,0.2816514314392649,0.6058572911648021,0.2827282001579682,0.4123809436489835,0.1988483691436405,0.3613850966589665,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC2_heldout_all_expression_sources,GDSC2,AUC,Hallmark pathways,Random forest,546,0.2805210941312899,0.2027945554604729,0.3925845675173162,0.1962718870228459,0.3517005943228726,0.1152629905407392,0.2800072298563104,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC1_strict_sanger_heldout,GDSC1,LN_IC50,Hallmark pathways,Mean baseline,323,,,2.220446049250313e-16,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.,4,talazoparib,Confirmatory extension,PARP inhibition
